MapId	Desc	PosType	WaiYiId	Path1	Idx1	Material1	Path2	Idx2	Material2	Path3	Idx3	Material3	Path4	Idx4	Material4	Path5	Idx5	Material5
4000	Gia Viên Lv1-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan01_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan01_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan01_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4001	Gia Viên Lv2-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan02_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan02_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan02_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4002	Gia Viên Lv3-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan03_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian02.mat	scenes/sn_jiayuan03_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian01.mat	scenes/sn_jiayuan03_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan01_dimian03.mat						
4003	Gia Viên Lv4-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan04_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan04_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan04_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4004	Gia Viên Lv5-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan05_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan05_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan05_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4005	Gia Viên Lv6-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan06_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan06_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan06_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4008	Gia Viên Lv7-Tầng 1-Sàn Mặc Định	1	0	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian03.mat	scenes/sn_jiayuan07/sn_jiayuan07_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian01.mat						
4003	Gia Viên Lv4-Tầng 1-Sàn Gỗ Lim	1	1	scenes/sn_jiayuan04_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan04_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan04_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
4004	Gia Viên Lv5-Tầng 1-Sàn Gỗ Lim	1	1	scenes/sn_jiayuan05_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan05_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan05_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
4005	Gia Viên Lv6-Tầng 1-Sàn Gỗ Lim	1	1	scenes/sn_jiayuan06_fangjian01	0	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan02_dimian02.mat	scenes/sn_jiayuan06_fangjian01	1	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03_01.mat	scenes/sn_jiayuan06_fangjian01	2	Scenes/Meshes/sn_jiayuan/Materials/sn_jiayuan03_dimian03.mat						
