TimeFrame	PlayerAddExpP	ItemID	LimitAddNum
OpenLevel39	100	212	0
OpenLevel39	150	212	0
OpenLevel39	200	212	0
OpenLevel39	300	212	0
OpenLevel39	100	222	0
OpenLevel39	150	222	0
OpenLevel39	200	222	0
OpenLevel39	300	222	0
OpenLevel39	100	213	0
OpenLevel39	150	213	0
OpenLevel39	200	213	0
OpenLevel39	300	213	0
OpenLevel39	100	214	0
OpenLevel39	150	214	0
OpenLevel39	200	214	0
OpenLevel39	300	214	0
OpenLevel39	100	1234	0
OpenLevel39	150	1234	0
OpenLevel39	200	1234	0
OpenLevel39	300	1234	0
OpenLevel39	100	1235	0
OpenLevel39	150	1235	0
OpenLevel39	200	1235	0
OpenLevel39	300	1235	0
OpenLevel49	100	212	0
OpenLevel49	150	212	0
OpenLevel49	200	212	0
OpenLevel49	300	212	0
OpenLevel49	100	222	0
OpenLevel49	150	222	0
OpenLevel49	200	222	0
OpenLevel49	300	222	0
OpenLevel49	100	213	0
OpenLevel49	150	213	0
OpenLevel49	200	213	0
OpenLevel49	300	213	0
OpenLevel49	100	214	0
OpenLevel49	150	214	0
OpenLevel49	200	214	0
OpenLevel49	300	214	0
OpenLevel49	100	1234	0
OpenLevel49	150	1234	0
OpenLevel49	200	1234	0
OpenLevel49	300	1234	0
OpenLevel49	100	1235	0
OpenLevel49	150	1235	0
OpenLevel49	200	1235	0
OpenLevel49	300	1235	0
OpenLevel59	100	212	0
OpenLevel59	150	212	0
OpenLevel59	200	212	0
OpenLevel59	300	212	0
OpenLevel59	100	222	0
OpenLevel59	150	222	0
OpenLevel59	200	222	0
OpenLevel59	300	222	0
OpenLevel59	100	213	0
OpenLevel59	150	213	0
OpenLevel59	200	213	0
OpenLevel59	300	213	0
OpenLevel59	100	214	0
OpenLevel59	150	214	0
OpenLevel59	200	214	0
OpenLevel59	300	214	0
OpenLevel59	100	1234	0
OpenLevel59	150	1234	0
OpenLevel59	200	1234	0
OpenLevel59	300	1234	0
OpenLevel59	100	1235	0
OpenLevel59	150	1235	0
OpenLevel59	200	1235	0
OpenLevel59	300	1235	0
OpenLevel69	100	212	0
OpenLevel69	150	212	0
OpenLevel69	200	212	0
OpenLevel69	300	212	0
OpenLevel69	100	222	0
OpenLevel69	150	222	0
OpenLevel69	200	222	0
OpenLevel69	300	222	0
OpenLevel69	100	223	0
OpenLevel69	150	223	0
OpenLevel69	200	223	0
OpenLevel69	300	223	0
OpenLevel69	100	213	0
OpenLevel69	150	213	0
OpenLevel69	200	213	0
OpenLevel69	300	213	0
OpenLevel69	100	214	0
OpenLevel69	150	214	0
OpenLevel69	200	214	0
OpenLevel69	300	214	0
OpenLevel69	100	215	0
OpenLevel69	150	215	0
OpenLevel69	200	215	0
OpenLevel69	300	215	0
OpenLevel69	100	1234	0
OpenLevel69	150	1234	0
OpenLevel69	200	1234	0
OpenLevel69	300	1234	0
OpenLevel69	100	1235	0
OpenLevel69	150	1235	0
OpenLevel69	200	1235	0
OpenLevel69	300	1235	0
OpenLevel79	100	212	0
OpenLevel79	150	212	0
OpenLevel79	200	212	0
OpenLevel79	300	212	0
OpenLevel79	100	222	0
OpenLevel79	150	222	0
OpenLevel79	200	222	0
OpenLevel79	300	222	0
OpenLevel79	100	223	0
OpenLevel79	150	223	0
OpenLevel79	200	223	0
OpenLevel79	300	223	0
OpenLevel79	100	213	0
OpenLevel79	150	213	0
OpenLevel79	200	213	0
OpenLevel79	300	213	0
OpenLevel79	100	214	0
OpenLevel79	150	214	0
OpenLevel79	200	214	0
OpenLevel79	300	214	0
OpenLevel79	100	215	0
OpenLevel79	150	215	0
OpenLevel79	200	215	0
OpenLevel79	300	215	0
OpenLevel79	100	1234	0
OpenLevel79	150	1234	0
OpenLevel79	200	1234	0
OpenLevel79	300	1234	0
OpenLevel79	100	1235	0
OpenLevel79	150	1235	0
OpenLevel79	200	1235	0
OpenLevel79	300	1235	0
OpenLevel79	100	6151	0
OpenLevel79	150	6151	0
OpenLevel79	200	6151	0
OpenLevel79	300	6151	0
OpenLevel89	100	212	0
OpenLevel89	150	212	0
OpenLevel89	200	212	0
OpenLevel89	300	212	0
OpenLevel89	100	222	0
OpenLevel89	150	222	0
OpenLevel89	200	222	0
OpenLevel89	300	222	0
OpenLevel89	100	223	0
OpenLevel89	150	223	0
OpenLevel89	200	223	0
OpenLevel89	300	223	0
OpenLevel89	100	224	0
OpenLevel89	150	224	0
OpenLevel89	200	224	0
OpenLevel89	300	224	0
OpenLevel89	100	213	0
OpenLevel89	150	213	0
OpenLevel89	200	213	0
OpenLevel89	300	213	0
OpenLevel89	100	214	0
OpenLevel89	150	214	0
OpenLevel89	200	214	0
OpenLevel89	300	214	0
OpenLevel89	100	215	0
OpenLevel89	150	215	0
OpenLevel89	200	215	0
OpenLevel89	300	215	0
OpenLevel89	100	1234	0
OpenLevel89	150	1234	0
OpenLevel89	200	1234	0
OpenLevel89	300	1234	0
OpenLevel89	100	1235	0
OpenLevel89	150	1235	0
OpenLevel89	200	1235	0
OpenLevel89	300	1235	0
OpenLevel89	100	6151	0
OpenLevel89	150	6151	0
OpenLevel89	200	6151	0
OpenLevel89	300	6151	0
OpenLevel99	100	212	0
OpenLevel99	150	212	0
OpenLevel99	200	212	0
OpenLevel99	300	212	0
OpenLevel99	100	222	0
OpenLevel99	150	222	0
OpenLevel99	200	222	0
OpenLevel99	300	222	0
OpenLevel99	100	223	0
OpenLevel99	150	223	0
OpenLevel99	200	223	0
OpenLevel99	300	223	0
OpenLevel99	100	224	0
OpenLevel99	150	224	0
OpenLevel99	200	224	0
OpenLevel99	300	224	0
OpenLevel99	100	213	0
OpenLevel99	150	213	0
OpenLevel99	200	213	0
OpenLevel99	300	213	0
OpenLevel99	100	214	0
OpenLevel99	150	214	0
OpenLevel99	200	214	0
OpenLevel99	300	214	0
OpenLevel99	100	215	0
OpenLevel99	150	215	0
OpenLevel99	200	215	0
OpenLevel99	300	215	0
OpenLevel99	100	1234	0
OpenLevel99	150	1234	0
OpenLevel99	200	1234	0
OpenLevel99	300	1234	0
OpenLevel99	100	1235	0
OpenLevel99	150	1235	0
OpenLevel99	200	1235	0
OpenLevel99	300	1235	0
OpenLevel99	100	6151	0
OpenLevel99	150	6151	0
