szIdiom
Ác Giả Ác Báo
Ăn Chắc Mặc Bền
Ăn Cháo Đá Bát
An Cư Lạc Nghiệp
Ăn Không Nói Có
Ăn Lông Ở Lỗ
Ăn No Tắm Mát
Ăn Ốc Nói Mò
An Phận Thủ Thường
Ăn To Nói Lớn
Ăn Tục Nói Phét
Ăn Xổi Ở Thì
Áo Gấm Đi Đêm
Áo Gấm Về Làng
Ao Sâu Tốt Cá
Ba Chìm Bảy Nổi
Ba Cọc Ba Đồng
Bạch Diện Thư Sinh
Bách Niên Giai Lão
Bán Sống Bán Chết
Bán Thân Bất Toại
Bán Tín Bán Nghi
Bắt Chạch Đằng Đuôi
Bắt Cóc Bỏ Đĩa
Bất Khả Xâm Phạm
Bế Quan Tỏa Cảng
Bới Bèo Ra Bọ
Bới Lông Tìm Vết
Bốn Bể Một Nhà
Bụng Đói Cật Rét
Bụng Mang Dạ Chửa
Buôn Thúng Bán Mẹt
Bút Sa Gà Chết
Cá Nằm Trên Thớt
Cạn Tàu Ráo Máng
Cầu Được Ước Thấy
Cày Sâu Cuốc Bẫm
Cha Già Con Cọc
Cha Nào Con Nấy
Cha Sinh Mẹ Dưỡng
Chân Cứng Đá Mềm
Chân Lấm Tay Bùn
Chân Trời Góc Bể
Châu Chấu Đá Xe
Chén Chú Chén Anh
Chị Ngã Em Nâng
Chim Lồng Cá Chậu
Chim Sa Cá Lặn
Chó Cắn Áo Rách
Chó Ngáp Phải Ruồi
Chó Treo Mèo Đậy
Chuột Sa Chĩnh Gạo
Có Chí Thì Nên
Cố Đấm Ăn Xôi
Có Mới Nới Cũ
Có Nếp Có Tẻ
Có Tật Giật Mình
Con Dại Cái Mang
Con Độc Cháu Đàn
Còn Nước Còn Tát
Của Chồng Công Vợ
Của Ít Lòng Nhiều
Dài Lưng Tốn Vải
Đánh Trống Khua Chiêng
Đao To Búa Lớn
Đạo Vợ Nghĩa Chồng
Đất Khách Quê Người
Đắt Xắt Ra Miếng
Đầu Cua Tai Nheo
Dậu Đổ Bìm Leo
Đầu Tắt Mặt Tối
Đầu Trâu Mặt Ngựa
Đầu Xuôi Đuôi Lọt
Đem Con Bỏ Chợ
Dĩ Hòa Vi Quý
Độc Nhất Vô Nhị
Đổi Trắng Thay Đen
Dón Tay Làm Phúc
Đông Che Hè Mở
Đồng Không Mông Quạnh
Ếch Ngồi Đáy Giếng
Gà Sống Nuôi Con
Hậu Sinh Khả Úy
Hữu Danh Vô Thực
Khẩu Xà Tâm Phật
Kính Lão Đắc Thọ
Kinh Thiên Động Địa
Lá Rụng Về Cội
Lấy Độc Trị Độc
Lòng Lang Dạ Thú
Long Trời Lỡ Đất
Mò Trăng Đáy Nước
Môn Đăng Hộ Đối
Một Mình Một Bóng
Nghiêng Nước Nghiêng Thành
Ngọa Hổ Tàng Long
Thập Tử Nhất Sinh
Thề Non Hẹn Biển
Thiên Hạ Vô Song
Thuận Buồm Xuôi Gió
Thượng Lộ Bình An
Tôn Sư Trọng Đạo
Trăm Trận Trăm Thắng
Tre Già Măng Mọc
Trời Cao Biển rộng
Trường Sinh Bất Tử
Tương Thân Tương Ái
Vinh Quy Bái Tổ
Vong Ơn Bội Nghĩa
Xướng Ca Vô Loại
