Index	TemplateID	Name	Kind	Camp	ClassName	ScriptParam	NpcResID	FaceID	BigFaceID	ReviveFrame	NpcAttribID	NormalSkill1	NormalSkillLevel1	NormalSkill2	NormalSkillLevel2	NormalSkill3	NormalSkillLevel3	VisionRadius	ActiveRadius	AiFile	Treasure	DropFile	FightMode	RunSpeed	BloodStyle	AuraSkillId	AuraSkillLevel	ForbitMove	StartActEvent	TitleID	DropType	Tag	DefaultDialog	NameColor	Experience	GouHuoRate	TransBossNpcTID	TransBossRate	WalkSpeed	IsNotShowShadow	FixExperience	IsNotBYStealLife	SyncFirst	Sex
Partner_SSS_1	279	Xi Vưu	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_1_Q	2175	Xi Vưu	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_2	280	Hậu Nghệ	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_2_Q	2176	Hậu Nghệ	0	1			1	801	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_3	281	Tô Đắc Kỷ	0	1			5131	802	997			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_3_Q	2177	Tô Đắc Kỷ	0	1			5131	802	997			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_4	282	Quỷ Cốc Tử	0	1			6171	666	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_4_Q	2178	Quỷ Cốc Tử	0	1			10171	666	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_5	283	Hạng Vũ	0	1			6173	665	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_5_Q	2179	Hạng Vũ	0	1			10173	665	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
Partner_SSS_6	284	Tần Thủy Hoàng	0	1			6136	660	999			21	1					3000	3000	Setting/Npc/Ai/partner/FellowCommon.ini				30	1																			
