Info	Type	Item	Count	SSS	SS	S	A	B	C	D	Addition	Other	SendWorld
Rương Tiền		1224	1	170000	171700	133400	93900	27200	3700	0	170000	100000	
200 Vinh dự Lăng Tuyệt	HonorRandomFuben		200	146000	151200	144000	180000	204000	176400	0	105000	75000	
300 Vinh dự Lăng Tuyệt	HonorRandomFuben		300	38500	67200	57600	48000	27300	0	0	60000	75000	
500 Vinh dự Lăng Tuyệt	HonorRandomFuben		500	23000	40200	34500	14400	4200	0	0	36000	75000	
1000 Vinh dự Lăng Tuyệt	HonorRandomFuben		1000	11500	20100	14400	2400	0	0	0	18000	60000	
Chìa Khóa Bảo Rương		785	1	158800	140000	120000	100000	85000	0		125000	100000	
Tàng Bảo Đồ		787	1	0	0	189000	209300	221000	379700	0	166800	80000	
Tu Luyện Đơn		764	1	128000	134300	120000	100000	76500	104200	0	125000	75000	
Đá Sinh Lực Lv1		230	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Tấn Công Lv1		240	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Kháng Tính Lv1		250	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Bỏ Qua Kháng Lv1		260	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Né Tránh Lv1		270	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Bỏ Qua Né Tránh Lv1		280	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Bạo Kích Lv1		290	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Kháng Bạo Kích Lv1		300	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Hiệu Quả Lv1		310	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Giảm Hiệu Quả Lv1		320	1	12800	13500	4800	10000	10200	5600	0	5000	12000	
Đá Sinh Lực Lv2		231	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Tấn Công Lv2		241	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Kháng Tính Lv2		251	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Bỏ Qua Kháng Lv2		261	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Né Tránh Lv2		271	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Bỏ Qua Né Tránh Lv2		281	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Bạo Kích Lv2		291	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Kháng Bạo Kích Lv2		301	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Hiệu Quả Lv2		311	1	6500	3700	3200	700	0	0	0	3300	8000	
Đá Giảm Hiệu Quả Lv2		321	1	6500	3700	3200	700	0	0	0	3300	8000	
Thủy Tinh-Nhỏ		212	1	0	0	40000	100000	226600	280000	0	41700	60000	
Thủy Tinh Vỡ		222	1	67200	47400	27000	20000	15000	0	0	27800	50000	
Khoáng Thạch Thần Bí-Vỡ		213	1	64000	55900	40100	25000	11200	0	0	41700	50000	
