Index	NpcName	TitleID	NpcTemplateId	HideTaskId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
wyd_hushenyi	Hồ Thần Y		417		100	1	99	6755	6845	37	-1	0	0		0	0	0	0	0	0	0	0
wyd_bingxinhua	Xích Tâm Hoa		955	5	100		99	4850	8750	40	-1	0	0		0	0	0	0	0	0	0	0
wyd_nalanzhen	Nạp Lan Chân		418	18	100		99	2180	4140	33	-1	0	0		0	0	0	0	0	0	0	0
wyd_yangyingfeng	Dương Ảnh Phong		419	55	100		99	6150	7630	36	-1	0	0		0	0	0	0	0	0	0	0
whz_xiaolizi	Ân Phương		578	14	100		99	1835	2670	24	-1	0	0		0	0	0	0	0	0	0	0
wyd_nalanqianlin	Nạp Lan Tiềm Lẫm		954	14	100		99	6530	4200	47	-1	0	0		0	0	0	0	0	0	0	0
wyd_lieying	Liệp Ưng		956	14	100		99	6650	4120	48	-1	0	0		0	0	0	0	0	0	0	0
daiyanren_tingting	Lâm Triều Hoa	117	2116		150	1	99	2955	6735	30	-1	0	0		0	0	0	0	0	0	0	0
hd_xiaoyintong	Triệu Ân Đồng	119	2204		150	1	99	3660	1460	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong1	Thượng Thăng Khí Lưu		74		20		99	4100	2185	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong2	Thượng Thăng Khí Lưu		74		20		99	3588	7092	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong3	Thượng Thăng Khí Lưu		74		20		99	5015	8182	0	-1	0	0		0	0	0	0	0	0	0	0
qinggong3	Thượng Thăng Khí Lưu		74		20		99	5660	1710	0	-1	0	0		0	0	0	0	0	0	0	0
st_npc	Thượng Quan Phi Long	160	1839		100	1	99	6846	2182	48	-1	0	0		0	0	0	0	0	0	0	0
