nId	nNpcTemplateId	nMapTemplateId	szTitle	nAnswerId	szA1	szA2	szA3	szA4
1	620	10	Trong võ lâm thứ dùng để phán đoán「Lực chiến」cao thấp là gì?	1	Quân Hàm	Chiêu thức	Võ công	Nội lực
2	620	10	Tác dụng của「Bỏ qua né tránh」là gì?	3	Khiến đối phương không thể né tránh!	Dù né tránh cũng gây sát thương	Giảm tỉ lệ né tránh mục tiêu	Né tránh tăng sát thương
3	620	10	Cách giảm sát thương「thuộc tính Hỏa」phải chịu?	2	Tăng Kháng Thủy	Tăng Kháng Hỏa	Tăng Kháng Phong	Tăng Kháng Thổ
4	630	10	Tăng [FFFE0D]Sức mạnh[-] sẽ tăng khả năng nào của nhân vật?	1	Tấn công	Sinh lực	Tấn công cận chiến	Hồi phục sinh lực
5	630	10	Tăng [FFFE0D]Nhanh nhẹn[-] sẽ tăng khả năng nào của nhân vật?	2	Chính Xác và Bạo Kích	Né Tránh và Kháng Tất Cả	Tấn công tầm xa và Bạo Kích	Tốc đánh và di chuyển
6	630	10	Tăng [FFFE0D]Linh hoạt[-] sẽ tăng khả năng nào của nhân vật?	3	Tốc đánh và di chuyển	Tấn công tầm xa và Chính Xác	Chính Xác và Bạo Kích	Né Tránh và Bạo Kích
7	630	10	Tăng [FFFE0D]Thể chất[-] sẽ tăng khả năng nào của nhân vật?	4	Hồi phục sinh lực	Phòng thủ	Kháng tính	Sinh lực
8	630	10	Muốn giảm sát thương phải chịu nên tăng thuộc tính nào?	3	Sinh lực	Hồi phục sinh lực	Kháng tính	Phòng thủ
9	622	10	Ai trong số dưới đây không thuộc thế lực「Thống Lĩnh Tam Minh」?	1	Thiên Cơ Phường	Tàng Kiếm Sơn Trang	Phi Long Bảo	Bi Ma Sơn Trang
10	622	10	Chức vị của Cao Trường Cung là gì?	4	Tu La Vương	Tư Thông Vương	Vua Hải Tặc	Lan Lăng Vương
11	622	10	Cốc chủ Dược Vương Cốc họ gì?	4	Lý	Vương	Lưu	Hồ
12	622	10	「Thiên Hạ Đệ Nhất Võ Kinh」là gì?	2	Quỳ Hoa Bảo Điển	Võ Đạo Đức Kinh	Cửu Dương Thần Công	Quy Ba Khí Công
13	622	10	Trang Chủ Tàng Kiếm Sơn Trang tên gì?	3	Diệp Mạnh Thu	Mạnh Tri Thu	Trác Phi Phàm	Diệp Anh
14	622	10	Tên của chủ nhân Bi Ma Sơn Trang?	4	Trác Phi Phàm	Độc Cô Kiếm	Dương Hi Liệt	Dương Ảnh Phong
15	622	10	Chủ nhân của Phi Long Bảo là ai?	1	Nguyệt My Nhi	Thượng Quan Phi Long	Nạp Lan Tiềm Lẫm	Thiên Tinh Đạo Trưởng
16	622	10	Thiên Vương Bang là do ai sáng lập?	1	Dương Nghiệp	Hạng Vũ	Triệu Vân	Địch Thanh
17	629	10	Vị nào dưới đây là Đồng Hành?	1	Dương Ảnh Phong	Hiệp Sĩ Nhện	Thần Long Đại Hiệp	Tiểu Phi Hiệp
18	629	10	Ai trong số dưới đây là Minh Chủ Võ Lâm?	3	Dương Hi Liệt	Thượng Quan Phi Long	Độc Cô Kiếm	Trác Phi Phàm
19	629	10	Người nào sau đây là Đồng Hành Cấp SS trong game	2	Nạp Lan Chân	Dương Ảnh Phong	Mạnh Tri Thu	Nạp Lan Tiềm Lẫm
20	623	10	Muốn tham gia hoạt động các hệ thống nên 	1	Mở giao diện Hoạt động	Mở giao diện Hành Trang	Mở giao diện Đồng Hành	Hạ người chơi
21	623	10	Cách thiết lập hình đại diện?	4	Giao diện Hành Trang	Giao diện Đồng Hành	Giao diện Cộng Đồng	Hình đại diện góc trên bên trái
22	623	10	Ở đâu có thể xem thành tựu cá nhân?	2	Giao diện Hành Trang	Hình đại diện góc trên bên trái	Giao diện Cộng Đồng	Giao diện bảng xếp hạng
23	100	10	Bao nhiêu Đá Hồn cùng loại có thể ghép Đá Hồn cấp kế?	3	1	2	3	4
24	100	10	Đá Hồn tối đa có thể ghép mấy lần?	2	1	2	3	4
25	97	10	Lửa Trại Bang Hội mấy giờ mở?	2	18:15	19:15	20:15	21:15
26	97	10	Lửa Trại Bang Hội tối đa được uống rượu mấy lần?	2	9	10	11	12
27	97	10	Trong Lửa Trại Bang Hội, uống rượu tối đa nhận được bao nhiêu EXP cộng thêm?	2	150%	200%	250%	300%
28	88	10	Nhiệm vụ Trừng Ác sẽ xuất hiện ở bản đồ cấp nào?	2	Lv10	Lv20	Lv30	Lv40
29	88	10	Màu danh hiệu trên đỉnh đầu đạo tặc trong nhiệm vụ Trừng Ác càng cao càng hiếm, bên dưới đặc trưng nào [FFFE0D]không phải[-] Trừng Ác hiếm?	3	Cống hiến nhiều hơn	Tỉ lệ rơi trang bị cao hơn	Trốn chạy dễ dàng hơn	Nhiều sinh lực hơn
