UpgradeID	DESC	PlayerLevel	TimeFrame	BookLevel	BookSkillLevel	CostItem1	CostItemCount1	CostItem2	CostItemCount2
2398	Bí Kíp Nhất Kích Sát Thần-Sơ	60	OpenLevel69	100	10	2398	2	2424	200
2401	Bí Kíp Huyết Chiến Bát Phương-Sơ	65	OpenLevel69	100	10	2401	2	2424	200
2719	Bí Kíp Kim Chung Tráo-Sơ	70	OpenLevel69	100	10	2719	2	2424	200
2402	Bí Kíp Bá Vương Nộ Hống-Sơ	75	OpenLevel69	100	10	2402	2	2424	200
2720	Bí Kíp Giang Hải Ngưng Ba-Sơ	60	OpenLevel69	100	10	2720	2	2424	200
2403	Bí Kíp Thiên Vũ Bảo Luân-Sơ	65	OpenLevel69	100	10	2403	2	2424	200
2404	Bí Kíp Từ Hàng Phổ Độ-Sơ	70	OpenLevel69	100	10	2404	2	2424	200
2405	Bí Kíp Bạch Lộ Ngưng Sương-Sơ	75	OpenLevel69	100	10	2405	2	2424	200
2409	Bí Kíp Phi Hỏa Lưu Tinh-Sơ	60	OpenLevel69	100	10	2409	2	2424	200
2722	Bí Kíp Cửu Diệu Liên Châu-Sơ	65	OpenLevel69	100	10	2722	2	2424	200
2410	Bí Kíp Hỏa Phượng Liêu Nguyên-Sơ	70	OpenLevel69	100	10	2410	2	2424	200
2411	Bí Kíp Xuyên Vân Phá Nguyệt-Sơ	75	OpenLevel69	100	10	2411	2	2424	200
2721	Bí Kíp Bạch Hồng Quán Nhật-Sơ	60	OpenLevel69	100	10	2721	2	2424	200
2406	Bí Kíp Thất Thám Xà Bàn-Sơ	65	OpenLevel69	100	10	2406	2	2424	200
2407	Bí Kíp Đẩu Chuyển Tinh Di-Sơ	70	OpenLevel69	100	10	2407	2	2424	200
2408	Bí Kíp Phong Quyển Tàn Vân-Sơ	75	OpenLevel69	100	10	2408	2	2424	200
2412	Bí Kíp Vô Ngã Vô Kiếm-Sơ	60	OpenLevel69	100	10	2412	2	2424	200
2414	Bí Kíp Thiên Địa Vô Cực-Sơ	65	OpenLevel69	100	10	2414	2	2424	200
2413	Bí Kíp Tọa Vọng Vô Ngã-Sơ	70	OpenLevel69	100	10	2413	2	2424	200
2723	Bí Kíp Nhân Kiếm Hợp Nhất-Sơ	75	OpenLevel69	100	10	2723	2	2424	200
2724	Bí Kíp Tử Vong Hồi Toàn-Sơ	60	OpenLevel69	100	10	2724	2	2424	200
2415	Bí Kíp Ma Diệm Tại Thiên-Sơ	65	OpenLevel69	100	10	2415	2	2424	200
2416	Bí Kíp Huyết Nguyệt Chi Ảnh-Sơ	70	OpenLevel69	100	10	2416	2	2424	200
2417	Bí Kíp Nhiếp Hồn Loạn Tâm-Sơ	75	OpenLevel69	100	10	2417	2	2424	200
2713	Bí Kíp Hàng Long Côn-Sơ	60	OpenLevel69	100	10	2713	2	2424	200
2714	Bí Kíp Đại Lực Kim Cang Chỉ-Sơ	65	OpenLevel69	100	10	2714	2	2424	200
2715	Bí Kíp Kim Cang Phục Ma-Sơ	70	OpenLevel69	100	10	2715	2	2424	200
2749	Bí Kíp Thập Nhị Cầm Long Thủ-Sơ	75	OpenLevel69	100	10	2749	2	2424	200
2716	Bí Kíp Tuyền Cơ La Vũ-Sơ	60	OpenLevel69	100	10	2716	2	2424	200
2717	Bí Kíp Vũ Đả Lê Hoa-Sơ	65	OpenLevel69	100	10	2717	2	2424	200
2718	Bí Kíp Triệu Hồi Bảo Bảo-Sơ	70	OpenLevel69	100	10	2718	2	2424	200
2750	Bí Kíp Băng Tung Vô Ảnh-Sơ	75	OpenLevel69	100	10	2750	2	2424	200
3267	Bí Kíp Triền Thân Thích-Sơ	60	OpenLevel69	100	10	3267	2	2424	200
3268	Bí Kíp Bạo Vũ Lê Hoa-Sơ	65	OpenLevel69	100	10	3268	2	2424	200
3269	Bí Kíp Mê Ảnh Tung-Sơ	70	OpenLevel69	100	10	3269	2	2424	200
3270	Bí Kíp Cửu Cung Phi Tinh-Sơ	75	OpenLevel69	100	10	3270	2	2424	200
3271	Bí Kíp Tiên Nhân Chỉ Lộ-Sơ	60	OpenLevel69	100	10	3271	2	2424	200
3272	Bí Kíp Tiếu Phong Tam Liên Kích-Sơ	65	OpenLevel69	100	10	3272	2	2424	200
