SkillId	SkillName	Property	SkillType	MeleeForm	StartPosType	StartDirType	Icon	IconAtlas	WaitTime	ChildID	ChildCount	MissileForm	MSGenerate	MSGenerateParam	Relation	TimePerCast	IsUseAR	Series	CastActionId	ActionEventID	ActionFrontPer	ActionBackPer	StateEffectId	SkillStyle	IsMelee	StatePriority	StateType	StateTime	StartSkillID	FlySkillId	FlyEventInterval	FlyActEventId	FlyActId	HitSkillID	HitSkillID2	VanishedSkillId	EventSkillLevel	AttackRadius	ClassName	MaxUsePoint	UsePointRecover	Param1	Param1Des	Param2	Param2Des	Param3	Param3Des	Param4	Param4Des	Param5	Param5Des	Param6	Param6Des	CostType	CostValue	FlagAddLevel	FactionLimit	ReqLevel	IsLinkSubSkill	IsAura	Desc	SelectorRange	SelectorType	CollisionSkillId	TargetSelf	DeathActEventID	AttackAnger	CastSoundID	AcceSpeedInfo1	AcceSpeedInfo2	AcceSpeedInfo3	InitSpeed	CastEffectRestId	NotChangeActFrame	NotChangeDir	CanDoSkillPri	UseLimitType	IgnoreObstacleJump	IsActPerFrame	IsPeaceCanUse	IsNotJumpObstacle	IsIgnoreInvincible	IsOnlySyncSelf	IsShareDmgRecord
1	Thử Nghiệm_Tất Sát-Đơn	Thử nghiệm	5		1		SkillUsual			1	1				enemy	0			16	1				logic				0										1000	test_npc																																													
2	Thử Nghiệm_Tất Sát-Nhóm	Thử nghiệm	5		1		SkillUsual			1	1				enemy	0			16	1				logic				0										1000	test_mustkill																																													
3	Thử Nghiệm_Tất Sát-Tự Diệt	Thử nghiệm	5		2		SkillUsual			1	1				self	0			16	1				logic				0										1000	test_mustkill																																													
4	Thử Nghiệm_Toàn Năng & Vô Địch	Thử nghiệm	2				SkillUsual								self	0			16	1								0											test3																																													
5	Thử Nghiệm_Hồi Sinh Lực	Thử nghiệm	2				SkillUsual								self	0			16	1								0											test_recoverlife																																													
6	Thử Nghiệm_Ẩn Thân	Thử nghiệm	3				SkillUsual								self	0			16	1								0											test3																																													
7	Khinh Công Thiên Vương		1	1			SkillUsual									0			29	7	0	0.2						0										1600	empty			30	Tăng tốc độ di chuyển về trước	800		800																							-1|20|90			70												
8	Khinh Công Nga Mi		1	1			SkillUsual									0			29	8	0	0.2						0										1600	empty			30	Tăng tốc độ di chuyển về trước	800		800																							-1|20|90			70												
9	Khinh Công Đào Hoa		1	1			SkillUsual									0			29	9	0	0.2						0										1600	empty			30	Tăng tốc độ di chuyển về trước	800		800																							-1|20|90			70												
10	Khinh Công Tiêu Dao		1	1			SkillUsual									0			29	10	0	0.2						0										1600	empty			30	Tăng tốc độ di chuyển về trước	800		800																							-1|20|90			70												
11	Khinh Công Thiên Vương-Lướt Qua		1	1			SkillUsual									0			6	11	0	0						0										1600	empty			30	Tăng tốc độ di chuyển về trước																													45												
12	Khinh Công Nga Mi-Lướt Qua		1	1			SkillUsual									0			6	12	0	0						0										1600	empty			20	Tăng tốc độ di chuyển về trước																													60												
13	Khinh Công Đào Hoa-Lướt Qua		1	1			SkillUsual									0			6	13	0	0						0										1600	empty			20	Tăng tốc độ di chuyển về trước																													60												
14	Khinh Công Tiêu Dao-Lướt Qua		1	1			SkillUsual									0			6	14	0	0						0										1600	empty			20	Tăng tốc độ di chuyển về trước																													60												
15	Thường dùng khinh công chạm đất		1	5			SkillUsual									0			30	15								0										1600	empty																																			1	1									
16	Test nhảy lắc trước lắc sau	Thử nghiệm	1	2			SkillUsual			17					enemy	0			21	16	15	15						0										700	test1			70																														10												
17	Thử Nhảy Lắc Trước Lắc Sau_Phụ	Thử nghiệm	5		1		SkillUsual			17	1				enemy	0			16	17								0										750	tw_ymcz_child																																													
18	Báo Động Đỏ_Phụ 2		5		1		SkillUsual			18	1				enemy	30			16	18				skill_remote				0										600	npc_normal																																													
19	Báo Động Đỏ		5		1		SkillUsual			19	1				enemy	30			16	19				logic				0										600	empty																																													
20	Báo Động Đỏ_Phụ 1		5		1		SkillUsual			20	1				enemy	30			16	20				logic				0										600	empty																																													
21	npc-Đánh đơn cận chiến_Kim	Kỹ năng thông dụng	5		1		SkillUsual			21	1				enemy	30	1		16	21				normal_melee				0										150	npc_normal																																													
22	npc-Đánh đơn cận chiến 2_Trảo	Kỹ năng thông dụng	5		1		SkillUsual			22	1				enemy	30	1		16	22				normal_melee				0										200	npc_normal																																													
23	npc-Đánh nhóm cận chiến_Bán Nguyệt Kim	Kỹ năng thông dụng	5		1		SkillUsual			23	1				enemy	30	1		16	23				normal_melee				0										200	npc_normal																																		23											
24	npc-Đánh nhóm cận chiến 1_Kim-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			24	1				enemy	60	1		16	6005				show				0	70								-1	150	empty																																													
25	npc-Đánh nhóm cận chiến 1_Thủy-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			25	1				enemy	60	1		16	6005				show				0	71								-1	150	empty																																													
26	npc-Đánh nhóm cận chiến 1_Hỏa-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			26	1				enemy	60	1		16	6005				show				0	72								-1	150	empty																																													
27	npc-Đánh nhóm cận chiến 1_Mộc-Biểu hiện	Kỹ năng thông dụng	5		2		SkillUsual			27	1				enemy	60	1		16	6005				show				0	73								-1	150	empty																																													
28	Nhóm Quanh Mình 1_Kim	Kỹ năng thông dụng	5		2		SkillUsual			28	1				enemy	75	1		16	6005				show				0	74								-1	250	empty																																													
29	Nhóm Quanh Mình 2_Thủy	Kỹ năng thông dụng	5		2		SkillUsual			29	1				enemy	75	1		16	6005				show				0	75								-1	250	empty																																													
30	Nhóm Quanh Mình 3_Hỏa	Kỹ năng thông dụng	5		2		SkillUsual			30	1				enemy	75	1		16	6005				show				0	76								-1	250	empty																																													
31	Nhóm Quanh Mình 4_Mộc	Kỹ năng thông dụng	5		2		SkillUsual			31	1				enemy	75	1		16	6005				show				0	77								-1	250	empty																																													
32	npc-Đánh đơn chỉ định tầm xa 1_Kim	Kỹ năng thông dụng	5		1		SkillUsual			32	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6032											
33	npc-Đánh đơn chỉ định tầm xa 1_Thủy	Kỹ năng thông dụng	5		1		SkillUsual			33	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6033											
34	npc-Đánh đơn chỉ định tầm xa 1_Hỏa	Kỹ năng thông dụng	5		1		SkillUsual			34	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6034											
35	npc-Đánh đơn chỉ định tầm xa 1_Mộc	Kỹ năng thông dụng	5		1		SkillUsual			35	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																		6035											
36	npc tầm xa	Kỹ năng thông dụng	5		2		SkillUsual			36	1				enemy	30	1		16	1				normal_remote				0										600	npc_normal																																													
37	npc-Đánh đơn thẳng tầm xa_Thủy	Kỹ năng thông dụng	5		2		SkillUsual			37	1				enemy	30	1		16	6005				normal_remote				0										750	npc_normal																																													
38	npc-Xuyên thấu thẳng tầm xa_Kim	Kỹ năng thông dụng	5		2		SkillUsual			38	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																													
39	npc-Xuyên thấu thẳng tầm xa_Thủy	Kỹ năng thông dụng	5		2		SkillUsual			39	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																													
40	npc-Xuyên thấu thẳng tầm xa_Hỏa	Kỹ năng thông dụng	5		2		SkillUsual			40	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																																													
41	npc-Xuyên thấu thẳng tầm xa_Mộc	Kỹ năng thông dụng	5		2		SkillUsual			41	1				enemy	30	1		16	6004				normal_remote				0										750	npc_normal																													5041																
42	npc-Đánh nhóm chỉ định tầm xa 1_Địa-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			42	1				enemy	60	1		16	6005				show				0	78								-1	750	empty																																													
43	npc-Đánh nhóm chỉ định tầm xa 1_Thủy-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			43	1				enemy	60	1		16	6005				show				0	79								-1	750	empty																																													
44	npc-Đánh nhóm chỉ định tầm xa 1_Hỏa-Biểu hiện	Kỹ năng thông dụng	5		1		SkillUsual			44	1				enemy	60	1		16	6005				show				0	80								-1	750	empty																																													
