Index	NpcName	TitleID	NpcTemplateId	WalkNearLength	CanAutoPath	NpcLevel	XPos	YPos	StandDir	Quantity	NpcType	NpcCamp	NpcDroprate	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	Removewhendeath	ChangeColorScheme
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5869	10179	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5241	9549	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5554	9857	40	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5449	4405	27	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5668	4014	27	-1	0	0		0	0	0	0	0	0	0	0
WallGuard	Doanh Địa-Chướng Ngại		104	50		1	5228	4877	27	-1	0	0		0	0	0	0	0	0	0	0
TrapToKing	Vương Thành		8002	50	1	0	18692	11131	27	-1	0	0		0	0	0	0	0	0	0	0
gate_n	Cổng Bắc		8002	50	1	0	11593	9426	27	-1	0	0		0	0	0	0	0	0	0	0
gate_s	Cổng Nam		8002	50	1	0	11622	5054	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu1	Long Trụ-Bắc		8002	50	1	0	14861	10191	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu2	Long Trụ-Trung		8002	50	1	0	13159	7279	27	-1	0	0		0	0	0	0	0	0	0	0
longzhu3	Long Trụ-Nam		8002	50	1	0	14863	4967	27	-1	0	0		0	0	0	0	0	0	0	0
