TemplateId	Faction	ChooseItem	Num	TimeFrame	Level	CheckLimit	ThisNeedCount	Desc	NotVersion_vn	NotVersion_hk	NotVersion_xm	NotVersion_en	NotVersion_kor	NotVersion_th
2153		1134	1					Dây Chuyền Hiếm T3						
2153		1144	1					Nhẫn Hiếm T3						
2153		1154	1					Ngọc Bội Hiếm T3						
2153		1164	1					Hộ Thân Phù Hiếm T3						
3521		1135	1					Dây Chuyền Hiếm T4						
3521		1145	1					Nhẫn Hiếm T4						
3521		1155	1					Ngọc Bội Hiếm T4						
3521		1165	1					Hộ Thân Phù Hiếm T4						
3522		1136	1					Dây Chuyền Hiếm T5						
3522		1146	1					Nhẫn Hiếm T5						
3522		1156	1					Ngọc Bội Hiếm T5						
3522		1166	1					Hộ Thân Phù Hiếm T5						
3523		1137	1					Dây Chuyền Hiếm T6						
3523		1147	1					Nhẫn Hiếm T6						
3523		1157	1					Ngọc Bội Hiếm T6						
3523		1167	1					Hộ Thân Phù Hiếm T6						
2306		1135	1											
2306		1145	1											
2306		1155	1											
2306		1165	1											
2307		1175	1											
2307		1195	1											
2307		1205	1											
2307		1215	1											
2424	1	2398	1											
2424	1	2401	1											
2424	1	2719	1											
2424	1	2402	1											
2424	2	2720	1											
2424	2	2403	1											
2424	2	2404	1											
2424	2	2405	1											
2424	4	2721	1											
2424	4	2406	1											
2424	4	2407	1											
2424	4	2408	1											
2424	3	2409	1											
2424	3	2722	1											
2424	3	2410	1											
2424	3	2411	1											
2424	5	2412	1											
2424	5	2414	1											
2424	5	2413	1											
2424	5	2723	1											
2424	6	2724	1											
2424	6	2415	1											
2424	6	2416	1											
2424	6	2417	1											
2424	7	2713	1											
2424	7	2714	1											
2424	7	2715	1											
2424	7	2749	1											
2424	8	2716	1											
2424	8	2717	1											
2424	8	2718	1											
2424	8	2750	1											
2424	9	3267	1											
2424	9	3268	1											
2424	9	3269	1											
2424	9	3270	1											
2424	10	3271	1											
2424	10	3272	1											
2424	10	3273	1											
2424	10	3274	1											
2424	11	4021	1											
2424	11	4022	1											
2424	11	4023	1											
2424	11	4024	1											
2424	12	4025	1											
2424	12	4026	1											
2424	12	4027	1											
2424	12	4028	1											
2424	13	5201	1											
2424	13	5202	1											
2424	13	5203	1											
2424	13	5204	1											
2424	14	5205	1											
2424	14	5206	1											
2424	14	5207	1											
2424	14	5208	1											
2424	15	6675	1											
2424	15	6674	1											
2424	15	6676	1											
2424	15	6677	1											
2424	16	7520	1											
2424	16	7521	1											
2424	16	7522	1											
2424	16	7523	1											
2424	17	8445	1											
2424	17	8446	1											
2424	17	8447	1											
2424	17	8448	1											
2424	18	9879	1											
2424	18	9880	1											
2424	18	9881	1											
2424	18	9882	1											
2424	19	10537	1											
2424	19	10538	1											
2424	19	10539	1											
2424	19	10540	1											
2424	20	11273	1											
2424	20	11274	1											
2424	20	11275	1											
2424	20	11276	1											
2424	1	7991	1				150	Tuyệt Học-Kim Chung Tráo						
2424	2	8001	1				150	Tuyệt Học-Từ Hàng Phổ Độ 						
2424	3	8011	1				150	Tuyệt Học-Hỏa Phượng Liêu Nguyên						
2424	4	8021	1				150	Tuyệt Học-Bạch Hồng Quán Nhật						
2424	5	8031	1				150	Tuyệt Học-Vô Ngã Vô Kiếm						
2424	6	8041	1				150	Tuyệt Học-Tử Vong Hồi Toàn						
2424	7	8051	1				150	Tuyệt Học-Đại Lực Kim Cang Chỉ						
2424	8	8061	1				150	Tuyệt Học-Triệu Hồi Bảo Bảo						
2424	9	8071	1				150	Tuyệt Học-Bạo Vũ Lê Hoa						
2424	10	8081	1				150	Tuyệt Học-Hỗn Độn Kiếm Trận						
2424	11	8091	1				150	Tuyệt Học-Hàng Long Hữu Hối						
2424	12	8101	1				150	Tuyệt Học-Ngũ Độc Địch Pháp						
2424	13	8111	1				150	Tuyệt Học-Ngọc Tuyền Ngư Dược						
2424	14	8121	1				150	Tuyệt Học-Dư Âm Nhiễu Lương						
2424	15	8131	1				150	Tuyệt Học-Mai Hoa Tam Lộng						
2424	16	8141	1				150	Tuyệt Học-Dục Huyết Đạo Phong						
2424	17	8151	1				150	Tuyệt Học-Phong Tống Tử Hà						
2424	18	9988	1				150	Tuyệt Học-Hỏa Quang Tàn Ảnh						
2424	19	10557	1				150	Tuyệt Học-Nhất Dương Chỉ						
2424	20	11285	1				150	Tuyệt Học-Vạn Hoa Bút Pháp						
2424	1	7992	1				150	Tuyệt Học-Huyết Chiến Bát Phương						
2424	2	8002	1				150	Tuyệt Học-Bạch Lộ Ngưng Sương						
2424	3	8012	1				150	Tuyệt Học-Đào Hoa Tiễn Thuật						
2424	4	8022	1				150	Tuyệt Học-Thất Thám Xà Bàn						
2424	5	8032	1				150	Tuyệt Học-Tọa Vọng Vô Ngã						
2424	6	8042	1				150	Tuyệt Học-Huyết Nguyệt Chi Ảnh 						
2424	7	8052	1				150	Tuyệt Học-La Hán Trận						
2424	8	8062	1				150	Tuyệt Học-Băng Tâm Tuyết Liên						
2424	9	8072	1				150	Tuyệt Học-Cửu Cung Phi Tinh						
2424	10	8082	1				150	Tuyệt Học-Tiếu Phong Tam Liên Kích						
2424	11	8092	1				150	Tuyệt Học-Long Chiến Vu Dã						
2424	12	8102	1				150	Tuyệt Học-Ngự Cổ Tâm Kinh						
2424	13	8112	1				150	Tuyệt Học-Ánh Ba Tỏa Lan						
2424	14	8122	1				150	Tuyệt Học-Vân Sinh Kết Hải						
2424	15	8132	1				150	Tuyệt Học-Mai Hoa Tam Lộng						
2424	16	8142	1				150	Tuyệt Học-Hiệp Sơn Siêu Hải						
2424	17	8152	1				150	Tuyệt Học-Tiêu Sử Thừa Long						
2424	18	9989	1				150	Tuyệt Học-Bất Diệt Quang						
2424	19	10558	1				150	Tuyệt Học-Thủy Long Ngục						
2424	20	11286	1				150	Tuyệt Học-Mặc Thủ Thành Quy						
2699		2528	1			1		【Đá Hồn Lv4 Tự Chọn】Đá Hồn Dương Anh-Sơ						
2699		2529	1					Đá Hồn Thanh Hiểu Sư Thái-Sơ						
2699		2530	1					Đá Hồn Chúc Tử Hư-Sơ						
2699		2531	1					Đá Hồn Hoàng Mộ Vân-Sơ						
2699		2532	1					Đá Hồn Đạo Nhất Chân Nhân-Sơ						
2699		2533	1					Đá Hồn Đoan Mộc Duệ-Sơ						
2699		1754	1					Đá Hồn Xích Tinh Hổ Hoàng-Sơ						
2699		1755	1					Đá Hồn Hám Thiên Hùng Hoàng-Sơ						
2699		1756	1					Đá Hồn Tử Bối Ngạc Hoàng-Sơ						
2699		1757	1					Đá Hồn Định Hải Kim Cang-Sơ						
2699		1758	1					Đá Hồn Kim Sí Bằng Hoàng-Sơ						
2699		1759	1					Đá Hồn Ngân Giác Tê Hoàng-Sơ						
2699		2534	1					Đá Hồn Mạnh Tri Thu-Sơ						
2699		2535	1					Đá Hồn Lý Hiển Trung-Sơ						
2699		2536	1					Đá Hồn Đồ Đơn Khắc Ninh-Sơ						
2699		2696	1					Đá Hồn Hoàn Nhan Hồng Liệt-Sơ						
2699		2824	1					Đá Hồn Huyền Thiên Võ Cơ-Sơ						
2699		2825	1					Đá Hồn Bạch Khởi-Sơ						
2699		2826	1					Đá Hồn Lý Tư-Sơ						
2699		2848	1					Đá Hồn Huyền Nhân-Sơ						
2699		3022	1					Đá Hồn Lôi-Sơ						
2699		3215	1					Đá Hồn Lý Nguyên Bá-Sơ						
2699		3216	1					Đá Hồn Triệu Vân-Sơ						
2699		3217	1					Đá Hồn Lý Quảng-Sơ						
2699		2672	1					Đá Hồn Kinh Kha-Sơ						
2699		2673	1					Đá Hồn Ngu Cơ-Sơ						
2699		2674	1					Đá Hồn Nhạc Phi-Sơ						
2699		2668	1			1		Đá Hồn Độc Cô Kiếm-Sơ						
2699		2880	1			1		Đá Hồn Nam Cung Phi-Sơ						
2699		2881	1			1		Đá Hồn Dương Ảnh Phong-Sơ						
2699		3371	1					Đá Hồn Doãn Hàm Yên-Sơ						
2699		3372	1			1		Đá Hồn Tuyền Cơ Tử-Sơ						
2699		3373	1			1		Đá Hồn Huyền Thiên Đạo Nhân-Sơ						
2699		3709	1					Đá Hồn Niên Thú-Sơ						
2699		3856	1			1		Đá Hồn Đường Cừu-Sơ						
