SkillId	SkillLevel	Quality	Icon	IconAtlas	Desc	Name
2301	4	1	gold	UI/Atlas/Item/Item/Item.prefab	Sát thương thuộc tính +60; duy trì 2 giờ	Chúc Phúc-Kim (Lv1) 
2301	5	2	gold	UI/Atlas/Item/Item/Item.prefab	Sát thương thuộc tính +80; duy trì 2 giờ	Chúc Phúc-Kim (Lv2) 
2301	6	3	gold	UI/Atlas/Item/Item/Item.prefab	Sát thương thuộc tính +100; duy trì 2 giờ	Chúc Phúc-Kim (Lv3) 
2301	7	4	gold	UI/Atlas/Item/Item/Item.prefab	Sát thương thuộc tính +150; duy trì 2 giờ	Chúc Phúc-Kim (Lv4) 
2301	8	5	gold	UI/Atlas/Item/Item/Item.prefab	Sát thương thuộc tính +200; duy trì 2 giờ	Chúc Phúc-Kim (Lv5) 
2302	4	1	wood	UI/Atlas/Item/Item/Item.prefab	Sinh lực +1200; Duy trì 2 giờ	Chúc Phúc-Mộc (Lv1) 
2302	5	2	wood	UI/Atlas/Item/Item/Item.prefab	Sinh lực +1600; Duy trì 2 giờ	Chúc Phúc-Mộc (Lv2) 
2302	6	3	wood	UI/Atlas/Item/Item/Item.prefab	Sinh lực +2000; Duy trì 2 giờ	Chúc Phúc-Mộc (Lv3) 
2302	7	4	wood	UI/Atlas/Item/Item/Item.prefab	Sinh lực +3000; Duy trì 2 giờ	Chúc Phúc-Mộc (Lv4) 
2302	8	5	wood	UI/Atlas/Item/Item/Item.prefab	Sinh lực +4000; Duy trì 2 giờ	Chúc Phúc-Mộc (Lv5) 
2303	4	1	water	UI/Atlas/Item/Item/Item.prefab	Né tránh +60;  Tỉ lệ kháng bạo kích +30;  Duy trì 2 giờ	Chúc Phúc-Thủy (Lv1) 
2303	5	2	water	UI/Atlas/Item/Item/Item.prefab	Né tránh +80;  Tỉ lệ kháng bạo kích +40;  Duy trì 2 giờ	Chúc Phúc-Thủy (Lv2) 
2303	6	3	water	UI/Atlas/Item/Item/Item.prefab	Né tránh +100;  Tỉ lệ kháng bạo kích +50;  Duy trì 2 giờ	Chúc Phúc-Thủy (Lv3) 
2303	7	4	water	UI/Atlas/Item/Item/Item.prefab	Né tránh +150;  Tỉ lệ kháng bạo kích +75;  Duy trì 2 giờ	Chúc Phúc-Thủy (Lv4) 
2303	8	5	water	UI/Atlas/Item/Item/Item.prefab	Né tránh +200;  Tỉ lệ kháng bạo kích +100;  Duy trì 2 giờ	Chúc Phúc-Thủy (Lv5) 
2304	4	1	fire	UI/Atlas/Item/Item/Item.prefab	Bỏ qua né tránh +60; Tỉ lệ bạo kích +30; duy trì 2 giờ	Chúc Phúc-Hỏa (Lv1) 
2304	5	2	fire	UI/Atlas/Item/Item/Item.prefab	Bỏ qua né tránh +80; Tỉ lệ bạo kích +40; duy trì 2 giờ	Chúc Phúc-Hỏa (Lv2) 
2304	6	3	fire	UI/Atlas/Item/Item/Item.prefab	Bỏ qua né tránh +100; Tỉ lệ bạo kích +50; duy trì 2 giờ	Chúc Phúc-Hỏa (Lv3) 
2304	7	4	fire	UI/Atlas/Item/Item/Item.prefab	Bỏ qua né tránh +150; Tỉ lệ bạo kích +75; duy trì 2 giờ	Chúc Phúc-Hỏa (Lv4) 
2304	8	5	fire	UI/Atlas/Item/Item/Item.prefab	Bỏ qua né tránh +200; Tỉ lệ bạo kích +100; duy trì 2 giờ	Chúc Phúc-Hỏa (Lv5) 
2305	4	1	earth	UI/Atlas/Item/Item/Item.prefab	Kháng tất cả +30, duy trì 2 giờ	Chúc Phúc-Thổ (Lv1) 
2305	5	2	earth	UI/Atlas/Item/Item/Item.prefab	Kháng tất cả +40, duy trì 2 giờ	Chúc Phúc-Thổ (Lv2) 
2305	6	3	earth	UI/Atlas/Item/Item/Item.prefab	Kháng tất cả +50, duy trì 2 giờ	Chúc Phúc-Thổ (Lv3) 
2305	7	4	earth	UI/Atlas/Item/Item/Item.prefab	Kháng tất cả +75, duy trì 2 giờ	Chúc Phúc-Thổ (Lv4) 
2305	8	5	earth	UI/Atlas/Item/Item/Item.prefab	Kháng tất cả +100, duy trì 2 giờ	Chúc Phúc-Thổ (Lv5) 
